date,shift,department,machine,employee,run_hours,halt_minutes,halt_reason
2026-09-01,day,Machining,CNC-01,Robin Pryce,4.67,200,No material
2026-09-01,Evening,Machining,CNC-01,Jamie Sutter,7,60,Quality check
2026-09-01,Night,Machining,CNC-01,Hayden Rhodes,7.25,45,Setup / changeover
2026-09-01,Day,Machining,CNC-02,Taylor Wilder,5.17,170,Planned maintenance
2026-09-01,Evening,Machining,CNC-02,Morgan Sutter,4.92,185,No material
2026-09-01,Night,Machining,CNC-02,Quinn Harlow,7,60,Setup / changeover
2026-09-01,Day,Machining,CNC-03,Robin Mercer,8,0,
2026-09-01,Evening,Machining,CNC-03,Alex Sutter,6.5,90,Setup / changeover
2026-09-01,Night,Machining,CNC-03,  Jamie Harlow ,7.42,35,Setup / changeover
2026-09-01,Day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-01,Evening,Assembly,ASM-01,Emerson Ellison,4.67,200,No material
2026-09-01,Day,Assembly,ASM-02,Morgan Hart,8,0,
2026-09-01,Evening,Assembly,ASM-02,Riley Doyle,7.33,40,Quality check
2026-09-01,Day,Welding,WLD-01,Reese Quill,7.67,20,Quality check
2026-09-01,Evening,Welding,WLD-01,Emerson Harlow,5.17,170,Planned maintenance
2026-09-01,Day,Welding,WLD-02,Casey Rhodes,6.08,115,Setup / changeover
2026-09-01,Evening,Welding,WLD-02,Quinn Hart,3.92,245,Breakdown
2026-09-01,Day,Painting,PNT-01,Avery Lang,8,0,
2026-09-02,Day,Machining,CNC-01,Robin Pryce,8,0,
02.09.2026,Evening,Machining,CNC-01,Jamie Sutter,7.25,45,No material
2026-09-02,Night,Machining,CNC-01,Hayden Rhodes,8,0,
2026-09-02,Day,Machining,CNC-02,Taylor Wilder,6.5,90,Setup / changeover
2026-09-02,Evening,Machining,CNC-02,Morgan Sutter,6.67,80,Breakdown
2026-09-02,Night,Machining,CNC-02,Quinn Harlow,7.08,55,Setup / changeover
2026-09-02,Day,Machining,CNC-03,Robin Mercer,7.58,25,Tool change
2026-09-02,Evening,Machining,CNC-03,Alex Sutter,8,0,
2026-09-02,Night,Machining,CNC-03,Jamie Harlow,6.33,100,Setup / changeover
2026-09-02,day,Assembly,ASM-01,Alex Brooks,6.42,95,Breakdown
2026-09-02,Evening,Assembly,asm-01 ,Emerson Ellison,5.83,130,Breakdown
2026-09-02,Day,Assembly,ASM-02,Morgan Hart,5.83,130,Breakdown
2026-09-02,Evening,Assembly,ASM-02,Riley Doyle,8,0,
2026-09-02,Day,Welding,WLD-01,Reese Quill,7.67,20,Quality check
2026-09-02,Evening,Welding,WLD-01,Emerson Harlow,8,0,
2026-09-02,Day,Welding,WLD-02,Casey Rhodes,7.08,55,Quality check
02.09.2026,Evening,Welding,WLD-02,Quinn Hart,6.17,110,No material
2026-09-02,Day,Painting,PNT-01,Avery Lang,8,0,
2026-09-03,Day,Machining,CNC-01,Robin Pryce,8,0,
2026-09-03,Evening,Machining,CNC-01,Jamie Sutter,5,180,No material
2026-09-03,Night,Machining,CNC-01,Hayden Rhodes,6.17,110,No material
03.09.2026,Day,Machining,CNC-02,Taylor Wilder,7.58,25,Tool change
2026-09-03,Evening,Machining,CNC-02,Morgan Sutter,6.33,100,Setup / changeover
2026-09-03,Night,Machining,CNC-02,Quinn Harlow,8,0,
2026-09-03,Day,Machining,CNC-03,Robin Mercer,8,0,
2026-09-03,Evening,Machining,CNC-03,Alex Sutter,7.17,50,Setup / changeover
2026-09-03,Night,Machining,CNC-03,Jamie Harlow,6.08,115,Planned maintenance
2026-09-03,Day,Assembly,ASM-01,Alex Brooks,4.75,195,No material
2026-09-03,Evening,Assembly,ASM-01,Emerson Ellison,7.67,20,Quality check
2026-13-45,Night,Machining,CNC-02,Quinn Harlow,7.08,55,Setup / changeover
2026-09-03,Day,Assembly,ASM-02,Morgan Hart,8,0,
2026-09-03,Evening,Assembly,ASM-02,Riley Doyle,7.75,15,Quality check
2026-09-03,Day,Welding,wld-01 ,Reese Quill,7.67,20,Tool change
2026-09-03,Evening,Welding,WLD-01,Emerson Harlow,6.33,100,Setup / changeover
2026-09-03,Day,Welding,WLD-02,Casey Rhodes,6.17,110,Setup / changeover
2026-09-03,Evening,Welding,WLD-02,Quinn Hart,4.92,185,Breakdown
2026-09-03,Day,Painting,PNT-01,Avery Lang,6.17,110,Planned maintenance
2026-09-04,Day,Machining,CNC-01,Robin Pryce,5.58,145,No material
2026-09-04,Evening,Machining,CNC-01,Jamie Sutter,7.67,20,Quality check
2026-09-04,Night,Machining,CNC-01,Hayden Rhodes,8,0,
2026-09-04,Day,Machining,CNC-02,Taylor Wilder,7.25,45,Setup / changeover
2026-09-04,Evening,Machining,CNC-02,Morgan Sutter,8,0,
2026-09-04,Night,Machining,CNC-02,Quinn Harlow,6.75,75,Setup / changeover
2026-09-04,Day,Machining,CNC-03,Robin Mercer,8,0,
2026-09-04,evening,Machining,CNC-03,Alex Sutter,8,0,
2026-09-04,Day,Assembly,ASM-01,Alex Brooks,6.92,65,Quality check
2026-09-04,Evening,Assembly,ASM-01,Emerson Ellison,6.83,70,Setup / changeover
2026-09-04,Day,Assembly,ASM-02,Morgan Hart,"7,58",25,Quality check
2026-09-04,Evening,Assembly,ASM-02,Riley Doyle,4.92,185,
2026-09-04,Day,Welding,WLD-01,Reese Quill,"6,58",85,No material
2026-09-04,Day,Welding,WLD-02,Casey Rhodes,6.33,100,Setup / changeover
2026-09-04,Evening,Welding,WLD-02,Quinn Hart,7.33,40,Setup / changeover
2026-09-04,Day,Painting,PNT-01,Avery Lang,8,0,
05.09.2026,Day,Machining,CNC-01,Robin Pryce,8,0,
2026-09-05,Day,Machining,CNC-02,Taylor Wilder,7.17,50,Setup / changeover
2026-09-05,Day,Machining,CNC-03,Robin Mercer,8,0,
2026-09-05,day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-05,Day,Assembly,ASM-02,  Morgan Hart ,6.5,90,Setup / changeover
2026-09-05,Day,Welding,WLD-01,Reese Quill,6.25,105,Breakdown
2026-09-05,Day,Welding,WLD-02,Casey Rhodes,8,0,
2026-09-05,Day,Painting,PNT-01,Avery Lang,8,0,
2026-09-07,Day,Machining,CNC-01,Robin Pryce,7.5,30,Quality check
2026-09-07,Evening,Machining,CNC-01,Jamie Sutter,8,0,
2026-09-07,Night,Machining,CNC-01,Hayden Rhodes,8,0,
2026-09-07,Day,Machining,CNC-02,Taylor Wilder,6.5,90,Setup / changeover
2026-09-07,Evening,Machining,CNC-02,Morgan Sutter,7.5,30,Quality check
2026-09-07,Night,Machining,CNC-02,Quinn Harlow,7.58,25,Setup / changeover
2026-09-07,Day,Machining,CNC-03,Robin Mercer,7.33,40,Tool change
2026-09-07,Evening,Machining,CNC-03,Alex Sutter,8,0,
2026-09-07,Night,Machining,CNC-03,Jamie Harlow,8,0,
2026-09-07,Day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-22,Evening,Assembly,ASM-01,Emerson Ellison,8,0,
2026-09-07,Evening,Assembly,ASM-01,Emerson Ellison,8,0,
2026-09-07,Day,Assembly,ASM-02,Morgan Hart,8,0,
2026-09-07,Evening,Assembly,ASM-02,Riley Doyle,5.42,155,No material
07.09.2026,Day,Welding,WLD-01,Reese Quill,5.08,175,Breakdown
2026-09-07,Evening,Welding,WLD-01,Emerson Harlow,7.67,20,Quality check
2026-09-07,Day,Welding,WLD-02,Casey Rhodes,7.08,55,Quality check
2026-09-07,Evening,Welding,WLD-02,Quinn Hart,6.5,90,Setup / changeover
2026-09-07,Day,Painting,PNT-01,Avery Lang,7.5,30,Tool change
2026-09-08,Day,Machining,CNC-01,Robin Pryce,6.25,105,No material
2026-09-08,Evening,Machining,CNC-01,Jamie Sutter,4.83,190,No material
2026-09-08,Night,Machining,CNC-01,Hayden Rhodes,8,0,
2026-09-08,Day,Machining,CNC-02,Taylor Wilder,7,60,Breakdown
2026-09-08,Evening,Machining,CNC-02,Morgan Sutter,3.75,255,Breakdown
2026-09-08,Night,Machining,CNC-02,Quinn Harlow,7.08,55,Setup / changeover
2026-09-08,Day,Machining,CNC-03,Robin Mercer,8,0,
2026-09-08,Evening,Machining,CNC-03,Alex Sutter,5.67,140,No material
2026-09-08,Night,Machining,CNC-03,Jamie Harlow,8,0,
2026-09-08,Day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-08,Evening,Assembly,ASM-01,Emerson Ellison,7.25,45,Setup / changeover
2026-09-08,Day,Assembly,ASM-02,Morgan Hart,8,0,
2026-09-08,Evening,Assembly,ASM-02,Riley Doyle,6,120,Breakdown
2026-09-08,Day,Welding,WLD-01,Reese Quill,6.75,75,Setup / changeover
2026-09-08,Day,Welding,WLD-02,Casey Rhodes,8,0,
2026-09-08,Evening,Welding,WLD-02,Quinn Hart,6.08,115,Setup / changeover
2026-09-08,Day,Painting,PNT-01,Avery Lang,6.67,80,Setup / changeover
2026-09-09,Day,Machining,CNC-01,Robin Pryce,8,0,
2026-09-09,Evening,Machining,CNC-01,Jamie Sutter,8,0,
2026-09-09,Night,Machining,CNC-01,Hayden Rhodes,8,0,
2026-09-09,Day,Machining,cnc-02 ,Taylor Wilder,7.42,35,Quality check
2026-09-09,Evening,Machining,CNC-02,  Morgan Sutter ,7.42,35,Tool change
2026-09-09,Night,Machining,CNC-02,Quinn Harlow,6.92,65,Setup / changeover
2026-09-09,Day,Machining,CNC-03,Robin Mercer,7.58,25,Quality check
2026-09-09,Evening,Machining,CNC-03,Alex Sutter,7.25,45,Setup / changeover
2026-09-09,Night,Machining,CNC-03,Jamie Harlow,6.75,75,Setup / changeover
2026-09-09,Day,Assembly,ASM-01,Alex Brooks,5.92,125,No material
2026-09-09,Evening,Assembly,ASM-01,Emerson Ellison,4.92,185,No material
2026-09-09,Day,Assembly,ASM-02,Morgan Hart,8,0,
2026-09-09,Evening,Assembly,ASM-02,Riley Doyle,8,0,
2026-09-09,Day,Welding,WLD-01,Reese Quill,5.33,160,
2026-09-09,Evening,Welding,WLD-01,Emerson Harlow,8,0,
2026-09-09,Day,Welding,WLD-02,Casey Rhodes,8,0,
2026-09-09,Evening,Welding,WLD-02,  Quinn Hart ,7.17,50,Setup / changeover
2026-09-09,Day,Painting,PNT-01,Avery Lang,5.5,150,No material
2026-09-10,Day,Machining,CNC-01,Robin Pryce,7,60,
2026-09-10,Evening,Machining,CNC-01,Jamie Sutter,5.83,130,No material
2026-09-10,Day,Machining,CNC-02,Taylor Wilder,6.75,75,Breakdown
2026-09-10,Evening,Machining,CNC-02,Morgan Sutter,5.33,160,No material
2026-09-10,Night,Machining,CNC-02,  Quinn Harlow ,7.67,20,Tool change
2026-09-10,Evening,Machining,CNC-02,Morgan Sutter,5.33,160,No material
2026-09-10,Day,Machining,CNC-03,Robin Mercer,2,360,Breakdown
2026-09-10,Evening,Machining,CNC-03,Alex Sutter,8,0,
2026-09-10,Night,Machining,CNC-03,Jamie Harlow,8,0,
2026-09-10,Day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-10,Evening,Assembly,ASM-01,Emerson Ellison,7.33,40,Setup / changeover
2026-09-10,Day,Assembly,ASM-02,Morgan Hart,6.67,80,Setup / changeover
2026-09-10,Evening,Assembly,ASM-02,Riley Doyle,3.25,285,Breakdown
2026-09-10,day,Welding,WLD-01,Reese Quill,8,0,
2026-09-10,Evening,Welding,WLD-01,Emerson Harlow,6.83,70,Setup / changeover
2026-09-10,Day,Welding,WLD-02,Casey Rhodes,8,0,
2026-09-10,Evening,Welding,WLD-02,Quinn Hart,6.42,95,Setup / changeover
2026-09-10,Day,Painting,PNT-01,Avery Lang,7.25,45,Quality check
2026-09-11,Day,Machining,CNC-01,Robin Pryce,"5,33",160,Planned maintenance
2026-09-11,Evening,Machining,CNC-01,Jamie Sutter,6,120,No material
2026-09-11,Night,Machining,CNC-01,Hayden Rhodes,8,0,
2026-09-11,Day,Machining,CNC-02,Taylor Wilder,5.58,145,Planned maintenance
2026-09-11,Evening,Machining,CNC-02,Morgan Sutter,5.42,155,No material
2026-09-11,Night,Machining,CNC-02,Quinn Harlow,7.5,30,Quality check
2026-09-11,Day,Machining,CNC-03,Robin Mercer,7.58,25,Quality check
2026-09-11,Evening,Machining,CNC-03,Alex Sutter,8,0,
2026-09-11,Night,Machining,CNC-03,Jamie Harlow,8,0,
2026-09-11,Day,Assembly,ASM-01,Alex Brooks,5.08,175,Breakdown
2026-09-11,Day,Assembly,ASM-02,Morgan Hart,6.5,90,Setup / changeover
2026-09-11,Evening,Assembly,ASM-02,Riley Doyle,8,0,
2026-09-11,Day,Welding,WLD-01,Reese Quill,6.42,95,Setup / changeover
2026-09-11,Evening,Welding,WLD-01,Emerson Harlow,8,0,
2026-09-11,Day,Welding,WLD-02,Casey Rhodes,8,0,
2026-09-11,Evening,Welding,WLD-02,Quinn Hart,3,300,Breakdown
2026-09-11,Day,Painting,PNT-01,Avery Lang,7.58,25,Quality check
2026-09-12,Day,Machining,CNC-01,Robin Pryce,4.83,190,Breakdown
2026-09-12,Day,Machining,CNC-02,Taylor Wilder,7.58,25,Quality check
2026-09-12,Day,Machining,CNC-03,Robin Mercer,7.42,35,Setup / changeover
2026-09-12,Day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-12,Day,Assembly,ASM-02,Morgan Hart,5.42,155,No material
2026-09-12,Day,Welding,WLD-01,Reese Quill,7.42,35,Setup / changeover
2026-09-12,Day,Welding,WLD-02,Casey Rhodes,7.42,35,Setup / changeover
2026-09-12,Day,Painting,PNT-01,Avery Lang,5.67,140,Planned maintenance
2026-09-14,Day,Machining,CNC-01,  Robin Pryce ,7.5,30,Tool change
14.09.2026,Evening,Machining,CNC-01,Jamie Sutter,6.17,110,No material
2026-09-14,Night,Machining,CNC-01,Hayden Rhodes,5.75,135,Planned maintenance
2026-09-14,Day,Machining,CNC-02,Taylor Wilder,6.83,70,Setup / changeover
2026-09-14,Evening,Machining,CNC-02,Morgan Sutter,5.5,150,Breakdown
