Дата;Смена;Цех;Оборудование;Сотрудник;Часы работы;Простой, мин;Причина простоя
01.09.2026;дневная;Мехобработка;CNC-01;Михайлов К.Д.;7,5;30;Замена инструмента
01.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
01.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;7,25;45;Переналадка
01.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,17;50;Нет материала
01.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;8;0;
01.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;8;0;
01.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;7,33;40;Контроль качества
01.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;7,75;15;Контроль качества
01.09.2026;Ночная;Мехобработка;CNC-03;  Иванов Е.Р. ;5,17;170;Плановое ТО
01.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;5,92;125;Переналадка
01.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;7,33;40;Контроль качества
01.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
01.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
01.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;7,25;45;Нет материала
01.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
01.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;6,5;90;Переналадка
01.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;6,67;80;Поломка
01.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
02.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;5,67;140;Поломка
2026-09-02;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;6,5;90;Переналадка
02.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;4,67;200;Нет материала
02.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;6,42;95;Поломка
02.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;5,83;130;Поломка
07.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
02.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;5,83;130;Поломка
02.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
02.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;7,67;20;Контроль качества
02.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
02.09.2026;дневная;Сборка;ASM-01;Волков О.Л.;6,92;65;Контроль качества
02.09.2026;Вечерняя;Сборка;asm-01 ;Кузнецов Б.К.;6,17;110;Нет материала
02.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
02.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
02.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;5;180;Нет материала
02.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;6,17;110;Нет материала
02.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;7,58;25;Замена инструмента
2026-09-02;Вечерняя;Сварка;WLD-02;Попов В.Р.;6,33;100;Переналадка
02.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
03.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;8;0;
03.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;6,75;75;Переналадка
03.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;6,08;115;Плановое ТО
2026-09-03;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;4,75;195;Нет материала
03.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,75;15;Контроль качества
03.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;8;0;
03.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
03.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;4,5;210;Поломка
03.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;6,42;95;Плановое ТО
03.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
15.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;2,25;345;Поломка
03.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;6,42;95;Переналадка
03.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;4,92;185;Поломка
03.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;6,17;110;Плановое ТО
03.09.2026;Дневная;Сварка;wld-01 ;Фёдоров В.К.;5,58;145;Нет материала
03.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;7,67;20;Контроль качества
03.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
03.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,25;45;Переналадка
03.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
04.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,17;110;Переналадка
04.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;5,5;150;Плановое ТО
04.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;2,33;340;
04.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,08;55;Переналадка
04.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;7,67;20;Контроль качества
04.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;4,92;185;Нет материала
04.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;6,58;85;Нет материала
04.09.2026;дневная;Сборка;ASM-01;Волков О.Л.;8;0;
04.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
04.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7,33;40;Переналадка
2026-09-04;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
04.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
2026-09-04;Вечерняя;Сварка;WLD-01;Соколов К.А.;7,08;55;Переналадка
04.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
04.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;8;0;
