date,employee,project,task,hours,billable
2026-08-25,Theo Varga,Customer portal,Order status page,2.95,Yes
2026-08-25,Theo Varga,Customer portal,Code review,3.05,Yes
2026-08-25,Ines Okafor,Customer portal,Reports export,1.86,Yes
2026-08-25,Ines Okafor,Customer portal,Code review,3.14,Yes
2026-08-25,Ines Okafor,Customer portal,Code review,3,Yes
2026-08-26,Mira Solberg,Support & maintenance,Bug fixes,2.83,Yes
2026-08-26,Mira Solberg,Shop-floor mobile app,Push notifications,1.54,Yes
2026-08-26,Mira Solberg,Customer portal,Reports export,2.57,Yes
2026-08-26,Mira Solberg,Shop-floor mobile app,Push notifications,1.06,Yes
2026-08-26,Theo Varga,Customer portal,Login and roles,0.35,Yes
2026-08-26,Theo Varga,Shop-floor mobile app,Offline sync,0.55,Yes
2026-08-26,Theo Varga,Customer portal,Order status page,2,Yes
2026-08-26,Theo Varga,Customer portal,Login and roles,3.27,Yes
2026-08-26,Theo Varga,Customer portal,Reports export,2.02,Yes
2026-08-26,Theo Varga,Customer portal,Code review,0.31,Yes
2026-08-26,Ines Okafor,Shop-floor mobile app,Push notifications,3.92,Yes
2026-08-26,Ines Okafor,Customer portal,Order status page,2.91,Yes
2026-08-26,Ines Okafor,Shop-floor mobile app,Push notifications,1.67,Yes
2026-08-26,Luca Brenner,Shop-floor mobile app,Barcode scanning,1.3,Yes
2026-08-26,Luca Brenner,Shop-floor mobile app,Push notifications,2.93,Yes
2026-08-26,Luca Brenner,Customer portal,Order status page,3.29,Yes
2026-08-26,Luca Brenner,Shop-floor mobile app,Barcode scanning,0.48,Yes
2026-08-27,Theo Varga,Shop-floor mobile app,Offline sync,4.09,Yes
2026-08-27,Theo Varga,Support & maintenance,Client call,2.32,Yes
2026-08-27,Theo Varga,Customer portal,Login and roles,0.43,Yes
2026-08-27,Theo Varga,Customer portal,Order status page,0.66,Yes
2026-08-27,Ines Okafor,Shop-floor mobile app,Offline sync,1.16,Yes
2026-08-27,Ines Okafor,Shop-floor mobile app,Push notifications,4.04,Yes
2026-08-27,Ines Okafor,Customer portal,Login and roles,2.3,Yes
