Дата;Сотрудник;Проект;Задача;Часы;Оплачиваемо
25.08.2026;Варга Тео;Клиентский портал;Страница статуса заказа;2,95;Да
25.08.2026;Варга Тео;Клиентский портал;Код-ревью;3,05;Да
25.08.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,86;Да
25.08.2026;Окафор Инес;Клиентский портал;Код-ревью;3,14;Да
25.08.2026;Окафор Инес;Клиентский портал;Код-ревью;3;Да
26.08.2026;Сольберг Мира;Поддержка;Исправление ошибок;2,83;Да
26.08.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,54;Да
26.08.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;2,57;Да
26.08.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,06;Да
26.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;0,35;Да
26.08.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;0,55;Да
26.08.2026;Варга Тео;Клиентский портал;Страница статуса заказа;2;Да
26.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;3,27;Да
26.08.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;2,02;Да
26.08.2026;Варга Тео;Клиентский портал;Код-ревью;0,31;Да
26.08.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;3,92;Да
26.08.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;2,91;Да
26.08.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;1,67;Да
26.08.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;1,3;Да
26.08.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;2,93;Да
26.08.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;3,29;Да
26.08.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,48;Да
27.08.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;4,09;Да
27.08.2026;Варга Тео;Поддержка;Созвон с клиентом;2,32;Да
27.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;0,43;Да
27.08.2026;Варга Тео;Клиентский портал;Страница статуса заказа;0,66;Да
27.08.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;1,16;Да
27.08.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;4,04;Да
27.08.2026;Окафор Инес;Клиентский портал;Авторизация и роли;2,3;Да
27.08.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,48;Да
27.08.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;3,88;Да
27.08.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;2,98;Да
28.08.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,52;Да
28.08.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;3,53;Да
28.08.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,19;Нет
28.08.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,68;Да
28.08.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;1,08;Да
28.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;2,94;Да
28.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;0,55;Да
28.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;1,24;Да
28.08.2026;Варга Тео;Клиентский портал;Авторизация и роли;1,52;Да
28.08.2026;Варга Тео;Клиентский портал;Код-ревью;0,64;Да
28.08.2026;Варга Тео;Клиентский портал;Код-ревью;1,11;Да
28.08.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;3,31;Нет
28.08.2026;Окафор Инес;Клиентский портал;Авторизация и роли;3,69;Да
28.08.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;3,92;Да
28.08.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;1,19;Да
28.08.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;1,89;Да
31.08.2026;Варга Тео;Клиентский портал;Страница статуса заказа;2,14;Да
31.08.2026;Варга Тео;Клиентский портал;Код-ревью;1,92;Да
31.08.2026;Варга Тео;Поддержка;Исправление ошибок;0,87;Да
31.08.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;1,6;Да
31.08.2026;Варга Тео;Клиентский портал;Код-ревью;0,97;Да
31.08.2026;Окафор Инес;Поддержка;Обновление сервера;1,83;Да
31.08.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,72;Да
31.08.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;1,2;Да
31.08.2026;Окафор Инес;Поддержка;Созвон с клиентом;1,88;Нет
31.08.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;1,37;Да
31.08.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;1,14;Да
31.08.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,76;Да
31.08.2026;Бреннер Лука;Клиентский портал;Код-ревью;3,17;Да
31.08.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;2,93;Да
01.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;2,86;Да
01.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;3,29;Да
01.09.2026;Сольберг Мира;Поддержка;Обновление сервера;1,85;Нет
01.09.2026;Варга Тео;Клиентский портал;Код-ревью;2,39;Да
01.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;3,2;Да
01.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;1,91;Да
01.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;2,06;Нет
01.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;2,05;Да
01.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;1,44;Да
01.09.2026;Окафор Инес;Клиентский портал;Код-ревью;1,95;Да
01.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;2,16;Да
01.09.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;1,75;Да
01.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;2,09;Да
02.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;2,96;Нет
02.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;3,41;Да
02.09.2026;Сольберг Мира;Поддержка;Обновление сервера;1,63;Нет
02.09.2026;Варга Тео;Поддержка;Исправление ошибок;1,98;Да
02.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;0,71;Да
02.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;1,92;Да
02.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;3,39;Да
02.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;2,01;Да
02.09.2026;Окафор Инес;Клиентский портал;Код-ревью;3,46;Да
02.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;1,53;Да
02.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;1,09;Да
02.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;0,4;Да
